,Stars,Comments,sentiments
124,5,"Sapiens is a masterpiece written by Yuval Noah Harari. You can find thousands of books about the evolution of sapiens in the library but there will nothing be quite like this book. It takes you on this journey to the ancient ages when apes and humans were sort of living together. It tells you all the details about that time period and how the sapiens came to be and how they were able to survive when the others did not. It is not just a book, it is an extraordinary piece of history. Just read it.",positive
125,5,This book was so helpful.READ THIS NOW!,positive
126,5,"First and so far only ""self-help"" style book I recommend to my friends and clients.",positive
127,1,"Thereâ€™s nothing new here. If you can walk and chew gum at the same time, you donâ€™t need this book.",negative
128,4,"This was fantastic. As for the content, I thought it was great. Iâ€™m sure that if I let these tips sink in and utilize them, they will make a difference in my life.",positive
129,4,"A very practical guide about cultivating good habits. Easy to read, easier to understand. This book gives very practical advice on how to develop good habits and let go of bad ones doing simple and small actions.",positive
130,1,"I do not find this book any helpful or eye-opening. The author has put quite an effort throughout the book to drive readers to his website for ""further self-help"" instead of laying out all information in the book. I find it so irritating to mentioning his website all the time like commercial.",negative
131,5,"Simply brilliant! I will for sure come back to it very often, it contains so many clear and straightforward strategies on how to adopt positive habits and get rid of bad ones.",positive
132,2,I read it because I was curious about why Audible was always recommending it to me. It was fine. The advice wasn't bad or anything.,negative
133,5,"There are a lot of books on habits, but this is the best book on habits I've ever read! It breaks things down in a way that is based on research and actionable.",positive
134,5,A practical and highly applicable read.,positive
135,5,Atomic Habits is a useful book. Itâ€™s a practical guide to identifying and changing your habits. Itâ€™s something you can actually put into practice in your life.,positive
136,5,"This booked helped me create better habits and more importantly, explained how to stick to them. James Clear has helpful tools to break bad habits, create new ones, and explains how tiny changes can lead to big results.",positive
137,5,ONE OF THE BEST IF NOT THE BEST!!! Atomic Habits is one of the best self help book its tells you about how a tiny things in one's life and bring changes in a long  run .,positive
138,5,"Amazing book. Easy to read, fun, very relatable. Atomic Habits will give you many great examples and many different real life concepts that could save up your time.",positive
139,5,An amazing book for productivity and self-development.The way it is written is pretty interesting that the reader enjoys every detail of the book.,positive
140,3,"Iâ€™m kind of disappointed about how this book turned out, I was really excited to read it.",neutral
141,1,"This is an incredibly exasperating tome.  The points are beyond obvious, and it felt like I was reading some self-help book written in the 50s.",negative
142,5,I think this is a great work made after lot of observations... Good book for one who wish to bring changes in themselves..,positive
143,5,Nice book. Been reading it lately and it has so many nice information about habits and how theyâ€™re formed.,positive
144,5,Atomic Habits is a powerful book that has changed the way I think about how I live and lead.,positive
145,4,A book full of practical tips to help you get rid of bad habit and adopt good ones..enjoyable and to the point,positive
146,5,A useful book about forming good habits to transform your life. I am currently applying some strategies from the book and it does help me in building my everyday habits.,positive
147,5,I strongly recommend it to anyone who feels the need for a change in some aspect of their life.,positive
148,5,So far the best book I have read on habits. I can definitely see all the hype about it.,positive
149,5,"Timeless information, great words of wisdom, and excellent advice from, perhaps, the greatest personal development book ever published.",positive
150,1,"Don't waste your hard earned money on ""Get Rich Quick"" books.",negative
151,5,This is the best self help book any entrepreneur could ever read. Perhaps the only one they need to. Truly transformative.,positive
152,5,"I have read hundreds of books over the past many years in my quest for success. ""Think and Grow Rich"" truly stands right near the top",positive
153,5,One of the best classical self-help books I ever read.I will read this book from time to time and review my habits and action.,positive
154,5,"Think and Grow Rich, in my opinion, is a one of a kind book, and offers readers a completely new paradigm for achieving one's life desires, whatever they may be.",positive
155,4,Probably the first ever book which actually makes sense about plans and their fulfillments.,positive
156,3,"There are some valuable things to pick up from this book but it definitely tested my patience, it's so repetitive and annoying and philosophical and abstract.",neutral
157,2,"I was recommended to read ""Think and Grow Rich"" from my life coach and found it to be a decent read. I will be honest though and say that although I found some helpful nuggets along the way, I didn't love the book",negative
158,4,"Unexpectedly, the book impacted me. Greatly. I started reading it as a very confused person, but now I have defined goals for my career and personal life.",positive
159,3,Overall it wasn't bad But I just needed more or perhaps the book was pretty good for its time and I'm just being too critical here,neutral
160,5,This was the first and my favorite self-help book I ever have read.,positive
161,1,This book is a piece of crap!I am ambitious and I have an insatiable hunger for growth but this book couldn't make them feel more in anyway.,negative
162,2,"The book gets pretty boring and repetitive, not to mention the unrealistic advices because we have to face it itâ€™s just a commercial book to sell and make money.",negative
163,5,This is one of my Top 5 favorite books of all time. I've read it 3 or 4 times.,positive
164,1,"So many other books can inspire entrepreneurs without the nonsense in this work. I suggest reading something else, maybe Seth Godin or Michael Gerber.",negative
165,1,Some of the thoughts are interesting but are coated in so much crap that it is easy to clean them for use.,negative
166,4,Incredible book. It makes you question everything you though you knew about yourslef and gives you the tools to improve,positive
167,4,This book is so simply to understand. It gives you the mindset to do whatever you want in life. Just read it. Itâ€™s amazing.,positive
168,5,This book alone changed little thing about me and my thought process. Take time to think about that sentence. It literally changed my whole way of life. That is how good this book is!,positive
169,5,I have learned a lot from it and now i look at my ambitions differently.,positive
170,5,A real must read. There's a reason it's been read by almost every successful person.,positive
171,5,"This book is amazing. I have been fed so many perspectives, and my own has changed. It is an eye opener. I recommend this to any and everybody.",positive
172,5,One the greatest books ever even after almost 70 yearsWould definitely recommend it,positive
173,5,"The Novel To kill A Mockingbird  Which is Written By Harper Lee and published July 11, 1960 is one of the best book that I read .",positive
174,5,"It is one of the best books that I read. Initially, when I was reading this novel, I did not like this novel.  But as soon as I read it, I started getting interested in this novel.",positive
175,1,This book is not good. I do not understand how people could possibly like it. It is boring from every angle.,negative
176,2,"I found this book incredibly boring. In the first half of the book absolutely nothing happened, yes you found out a bit about the main characters but even they were dull",negative
177,4,"The book starts slowly, but eventually becomes engaging and enjoyable. Many life lessons can be learned through the wisdom in many of theses characters talking.",positive
178,5,"""To Kill a Mockingbird"" is a great novel and the best one to start with.",positive
179,1,"We are reading in English class, and compared to every other book this has to be the worst book I have read in my entire short life. Not very interesting.",negative
180,4,"This book has so many things to learn from. It make you laugh, make you angry, make you smile and finally will make you weep with a smile. A must read novel, I'd say.",positive
181,5,"The book called To Kill A Mockingbird by Harper Lee, in my opinion, is a very inspirational, motivational, enjoyable, and interesting book to read.",positive
182,4,It is very interesting and educational novel . The first half of this novel is not so much interesting but after this boring part you can learn many things,positive
183,5,The story is great and a very marvellous work is done by the author Harper Lee in which she tried her best to explain differences between good and evil,positive
184,4,This book has a very profound meaning that still manages to compel us to ponder over injustices around us and this is what makes it so unique.,positive
185,5,Best book I can grab onto during this lockdown period. I must say this is a piece of art in the very way it has been written.,positive
186,4,It is one of the best books written and must be read in a life time.,positive
187,5,"A classic novel, really a good read , it depicts the society's attitude towards colored people.",positive
188,5,To Kill a Mockingbird is a timeless classic that explores ideas of racial prejudice and small town identity. The characterisation of the children Jem and Scout Finch is outstandingly crafted.,positive
189,3,"It's a good read, a humorous account of a little girl in America and her time in a little town. Although the characters were well-narrated, it isn't gripping, it's rather dull and pale",neutral
190,2,This book has good morals and themes but it's so boring and is wayyyy too long compared to 3-minute songs that convey the exact same ideas,negative
191,4,This book make a environment for your feelings to stay everywhere persistent as you are now working on your goal.,positive
192,1,"From being boring, to being racist, to not making sense.....cheers to the others drinking straight acitone from reading this book.",negative
193,5,"An amazing and unique presentation of morals and day to day lessons needed to get through life with ease. The book not only shows the tough, deep and harsh realities but also to come through them and be a better version of oneself.",positive
194,5,"The book is raw and realistic, it sticks to its theme of youth and innocence and doesn't  stray away in order to give better understanding of the case",positive
195,4,I just love this book and I'd read it many more times... Harper lee sure is one of the best authors,positive
196,5,Wow what a well written book. Based on a true story of what happened particularly about racism in America especially towards black people.,positive
197,1,This story overall is a disaster. Everything about the story needs a lot of improvement. The editing is over brutal I donâ€™t know if the editor was legally blind or he had his head up his behind.,negative
198,4,There are some good excerpts in this book. Ofcourse I donâ€™t really agree with all of what he has written but overall a good book to ponder over things.,positive
199,4,"I donâ€™t know what is so great about this book, but itâ€™s good. For the longest time, I was avoiding it thinking it to be another â€˜self helpâ€™ book.",positive
200,1,The book is hypocritical and lacks any depth. Some sections are repetitive. It feels like a book written to stroke the author's ego.,negative
201,3,"Do Epic Shit consolidates most facets of self-help in a clear, easy language. While it does not exactly have actionable pieces of advice, it does provide his own experiences for case studies.",neutral
202,2,"Not a book, but a pamphlet in a very big font. Populated by self evident cliches and truisms.",negative
203,5,One of the best books I have read about someone's life which I kind of relate to.,positive
204,2,Nothing more than a collection of motivational quotes. Good for someone who has never read a self-help book before.,negative
205,4,I loved the simplicity and the clarity of the author. A book which the young as well as the old can easily read and connect. Can be read multiple times as it is inspiring.,positive
206,5,"For me it is not a book it is occen of knowledge about Time,  money.... Everything which I get now.",positive
207,3,"Short book, I listened via audible. I liked many parts of the book, but I also feel the book was a collection of quotes or ideas from other books Iâ€™ve read",neutral
208,5,This is one of the simplest book I have come across from Indian audience point of view. The thoughts we are brought up have been disrupted and made us think of ourself from a second personâ€™s viewpoint,positive
209,4,This book has a way to get to you. It uses simple and easy to follow language. I would recommend a slow read and sink in. Take in all the lessons and relate with the book with what it's trying to convey,positive
210,2,This book seemed like a collection of tweets or anecdotes with no common theme binding them together. Felt like I was reading a dictionary.,negative
211,4,Pretty good book with vital knowledge and awareness.,positive
212,5,"The book is really very amazing. I'm a student, it helps me to make the right choices in my life. It teaches me to value time, money, family and everything I have",positive
213,2,"It's an assorted collection of the author's ""shower thoughts"" that are loosely grouped into a handful of categories which make up the chapters.",negative
214,4,"This book gives a lot of insight and knowledge into life lessons, understanding how things work and a guide on proper priorities from the author's view. A good read.",positive
215,5,Nicely Written. Amazing facts given by the author. Kudos to him,positive
216,4,Highly Recommended for beginners who haven't touched any self help books in the past and also don't like reading books!,positive
217,5,I liked the book very much. The kind of thoughts ankur have shared is invaluable because it is not some sugar coated content with a fancy title with great cover.,positive
218,4,"It is important to keep your fundamental beliefs and values in mind. It helps you remember why you're doing what you're doing, and it also helps reduce stress and boost motivation.",positive
219,4,Quick easy read and an amazing one I must say . It's definitely not a book where you will learn something new instead a book that makes you realize what you can do and are capable of.,positive
220,4,It's an excellent book. Highlights and sums up the essence of all important aspects of life.,positive
221,5,Loved the format of the book. You can literally open any page and it will make sense .,positive
222,4,Practical nuggets of wisdom across different facets of life. Insightful book,positive
223,5,What a fantastic book. I can see why everyone from Bill Gates to Barack Obama was raving about it.,positive
224,5,"This book had changed my life, the way I think, the way I precept the world. I think it should be an obligatory book for everyone on this planet.",positive
225,5,"I recommend  this remarkable  tome to all sapiens , this  will  answer  a lot  of  questions  to you , I recommend  this informative  book  to all Humankinds",positive
226,5,An excellent foundation to stimulate an interest and to go on and explore different aspects of anthropology. It was bought for me by my Son.  He told me that Bill Gates ranked this book in his top 10 best reads. I would rank it in my top 3!,positive
227,5,"This is one of the most well written, engaging and information dense books I have ever read.",positive
228,5,"The book is truly exceptional. The author has covered almost all aspects of human history like biology, theism, beliefs, capitalism, nationalism etc",positive
229,5,"The best book Iâ€™ve ever read ! I was never interested in reading history book, but the way this book is written is amazing.",positive
230,5,Absolutely fantastic book.  A big thank you to professor Harari   Full of insights and important information from start to finish.,positive
231,5,"Beginner's guide to sociobiology. And since I am a complete beginner, perfect for me.",positive
232,3,Nothing new! Everything I read in this book to some extent I learned at the anthropology courses taught by academician Balaceanu-Stolnici.,neutral
233,5,"Fantastic. Absolutely sublime. I don't think I've ever read a book with such grand scope, or a book that promises to cover so much and actually delivers.",positive
234,5,"This is one of those rare books which is superbly written, intelligent and mind-altering. I am convinced by this author's arguments and my view of the human condition has changed permanently.",positive
235,2,If you have an academic background in linguistics / cognitive science / anthropology / sociology: don't waste your time reading this book.,negative
236,4,"This is a hugely ambitious book; it takes a very broad approach, condensing huge topics into short chapters in an attempt to provide a basis for the development of our entire species.",positive
237,5,I recommend this book to anyone who is curious about why everything is in the way they are today. It helped to improve my world view drastically.,positive
238,4,One of the best books I've come through. Harari has compiled our history and the history of our world in a neat and orderly manner.,positive
239,4,It's really a masterpiece and a feat by Noah. He has put together all history of human kind in a less than 500 pages book.,positive
240,3,"Sapiens is one of the most interesting books I have ever read. It helped my think about why I believe what I do, and deconstruct.",neutral
241,1,It feels like one big virtue signal to how primitive ancient people were compared to how contemporary people live now.,negative
242,5,Congratulations to Yuval Novah Harai for his book Sapiens and Thanks to bring us with a breathtaking journey of human history.,positive
243,2,"Sapiens presented some good ideas. Unfortunately, the stream of ideas are often flawed with facts that are untrue. That really gets me. Donâ€™t state a lie to sell a book.",negative
244,4,The book is only excellent if you want to know how humankind began it's journey.,positive
245,3,"Very interesting read, but for all the authorâ€™s criticisims, Sapiens is by as far as from the earth to the Sun the most successful creature nature has ever created.",neutral
246,4,"Great book overall, but as a christian there are certain parts I found offensive to my beliefs.",positive
247,5,"This is an excellent book about the history of humans, covering all aspects; evolution, anthropology, geography, psychology, religion, ideologies, and the future of humans.",positive
248,3,"The book is perfect , story if perfect but just by reading this book i can tell the author is racist and hates everything about India , so id rather give it 3 stars .",neutral
249,4,"The story is very good and excellent but there are some spelling mistakes,but not much.worth to buy.",positive
250,5,The story was fascinating as it floats around to find the happy ending .will me carvern change will Mary be able to re grow and more,positive
251,2,I gave it a 2 star because the story of the book is very boring and the character of this story are also very awkward type. The worst thing about this book is that it strech the things for no reason and there are no twist in the story.,negative
252,3,Paper quality need to improve.,neutral
253,4,Best book for kids and teenagers.,positive
254,5,Now I have never started to read this book but I saw so many reviews of this book on utube and that were all good reviews so now I am expecting I will be must love this book.,positive
255,5,Well good story. Book was good well packed and pages are all good helpful i f someone want to increase their reading skills.,positive
256,2,Not Good to read,negative
257,5,Its a very nice book to read and the story is getting intesting in each chanpter and you should read if you love mysteries.,positive
258,4,The book is fun and child friendly.,positive
259,1,It is too boring to read. I have already read 9 chapters but could not find anything interesting. I just bought this book since it has very good rating in amazon. It's my mistake to buy this book.,negative
260,1,"I bought it for my 10 year old daughter and at first page she found the word gay and asked its meaning. I didn't read the book, but I must say that there must be some reader maturity level indication like the movies rating.",negative
261,1,This is very negative book. The story talk very negative about india from 18th century. Please do not weast money to buy this get into drepession mode.,negative
262,4,It's an old version book with ancient English accent I can tell... Good one to read for relaxation.,positive
263,5,I truly love this book. The story of the book is awesome.,positive
264,4,The book is fun and child friendly.,positive
265,5,"For those who are always in love with fairy tales and adventures, I will really suggest this. And how the world changes with our attitude is clearly drawn here. One of my favorites..",positive
266,5,"One can't stop reading. The best to read @ lockdown with elaborate descriptions of nature , specifically of a secret garden. It can take the readers back to their childhood days.",positive
267,5,It was a great book! Would definitely recommend you if you like to read some wonderful non fiction,positive
268,4,Bought for my teenager. He liked it.,positive
269,5,"It is awesome book for kids . If you like fairy tale stories, this book is highly recommend .",positive
270,5,What a wonderful book! It has a story seeming dead at first but trust the book and just read it. The Ending is Amazing...,positive
271,5,A beautifully written masterpiece and an amazing classic . it follows a journey of becoming what you never thought to be. A must readÂ ,positive
272,5,I love this book . It too good for kids and teenager .,positive
273,4,Good book but some parts are boring.,positive
274,5,I liked this book very much because it says about our real life experience.,positive
275,5,A good book to read for a person who is people pleaser and finds difficulty for saying No.,positive
276,5,Definitely written in context of corporate.,positive
277,4,Good.,positive
278,4,Really liked the book.,positive
279,4,The author has mentioned all the strategies wth real life examples.,positive
280,5,I really liked the strategy of declining one's request with poise.,positive
281,4,"All people pleasers, please spare some time to read this.",positive
282,4,Few of the lines were amazing.,positive
283,3,"The author could have done better, similar examples for all chapters doesn't make sense.",neutral
284,3,Books is good for those who want to start saying no.,neutral
285,4,"It is concise, informative and succeeds in delivering its message.",positive
286,2,It one time read for professionals.,negative
287,4,This book reprogrammed my brain.,positive
288,2,I'm not happy but nice read.,negative
289,3,I enjoyed reading the book.,neutral
290,4,Such a great thoughts and life lessons.,positive
291,4,I liked how short this was.,positive
292,4,Content is really good.,positive
293,4,It was a quick read and a real eye-opener.,positive
294,3,"The book is simple, relatable and very practical.",neutral
295,4,Crisp and easy to understnad the topics.,positive
296,3,All smoke and nothing solid.,neutral
297,4,Very good book for managing your time effectively.,positive
298,4,"Well explained. And, really helpful.",positive
299,4,Some practices are good. You can skip some of the sections but in a nutshell a good book to read.,positive
300,5,"Simple, short and to the point...will break old you and make new you....must read and implement in everyineâ€™s life.Go on read",positive
301,5,Everything is explained very clearly,positive
302,5,Wake up at victory hour and become victorious.,positive
303,5,Amazing book. Helped me to prioritise my task and get things done. Waking up early And feel the morning vive is awesome. If you procastinate it will help you to take action and wake up early.,positive
304,5,Beautifully explained how to overcome the negatives and focus on achieving a great disciplined and a high standard lifestyle!!! Truly motivating.,positive
305,4,Message can be conveyed in half the number of pages.,positive
306,4,"After reading this book, you found change in your daily routine. It's change your morning habits. The 20/20/20 formula is good.",positive
307,4,I hated the slow pace story! So detailed! Frustrating!,positive
308,4,This book will give you a great perspective on making your life worthwhile. I highly recommend you all to read this book.,positive
309,3,One time read. Good concept but too much elobrated. Could have been reduced to half of the volume.,neutral
310,3,It's good but a bit too explanative. The content and the way it starts out is nice.,neutral
311,3,"Thanks for Robin sharma for writing such a great book . But the quality of papers are very bad, disappointed with quality of book.",neutral
312,3,You have to keep disctionary with u. Inspirational book .. very nice,neutral
313,2,10% of the book has value. Rest 90% seems like a filmy Bollywood story .,negative
314,2,It is a self help book but i felt like the points are repeated so many times and at some point i got bored.you need a lot of patience to read this.,negative
315,2,A self help book should be succinct and not have hundreds of pages with a boring story. Unfortunately this book does the latter.,negative
316,2,An average book. Very boring. The only important and interesting stuff comes in the last 100 pages of the story. From chapter 11... Any chapter before 11 is just waste of time.,negative
317,2,Misleading search results lead to buying journal in place of book.,negative
318,1,too much boring book. useless story,negative
319,1,"Book is very bore in reading no real life examples...only presentation of cloths and surrounding...what artist wear The SUV , the airplane etc .",negative
320,1,Hard to keep you bound and finish. Itâ€™s more like a fiction with uninteresting characters with no research backed theories.,negative
321,3,I believe few things in the book is unnecessary streched. It could have been shorten and to the point.,neutral
322,3,"I gave this 3 stars not because of the content but because of the printing quality, guys check it once you receive the book.",neutral
323,3,"Okay, at the middle of the book got bored and finally did not complete , but message was good and understood",neutral
324,1,Horrible quality of book. Got delivered yesterday and within a day the pages are coming off! Dont buy.,negative
325,5,Nice content and improves quality of life.,positive
326,4,Good book should read it.,positive
327,4,Ideal for children.,positive
328,4,The book gives a practival way to achieve riches.,positive
329,4,Good book. I recommend this to every entrepreneur.,positive
330,3,The perspective is great.,neutral
331,3,Amazing experience.,neutral
332,3,Worth reading.,neutral
333,4,Must buy no doubt.,positive
334,5,A guide to our inner engineering.,positive
335,5,This one book everyone need to read.,positive
336,4,"I love this, life changing experience.",positive
337,3,Good but average book.,neutral
338,3,Superb book for changing mindset.,neutral
339,4,It's very nicely written.,positive
340,2,Think and grow rich totally waste of time.,negative
341,3,Amazing book.,neutral
342,4,"This is a good book, but could have been better.",positive
343,4,This was truly inspiring.,positive
344,4,A great book to read and get inspiration.,positive
345,4,Everyone should read who is getting trouble mentally it will answers all your negative thoughts.,positive
346,3,This is by far one of the best book written on how to succeed in life.,neutral
347,3,I am not a money minded person this books will be useful for them.,neutral
348,2,Must be a good option but not for all.,negative
349,4,This book will must change life of the person.,positive
350,3,It's a good read but little bit slow in the beginning.,neutral
351,1,Content in book is good but difficult to understand. I don't liked the book.,negative
352,3,Good book.,neutral
353,4,The product is really good with cover printing and packaging.,positive
354,4,A very good book for young generation kids to deals with their failures.,positive
355,4,Good one and budget friendly with full of realistic thoughts. The more you read the  more a thought becomes clear to you.,positive
356,4,"Just started reading looks good, contents and wordings are easy to understand.",positive
357,5,I read it complete and can surely say it is a very good motivational book. Amazon delivered in very good condition.,positive
358,5,This is one of the best self help books. Every one must own a copy.,positive
359,5,A must-read book for everyone who know how to read. Life is definitely not the same before and after reading this book.,positive
360,5,This is often my favourite and continues to be in my top reading list.,positive
361,5,I liked it very much you must read it.,positive
362,5,"Superb book, simple and effective tricks. Must read, for those who wants to heal self and others through simple mindpower technics.",positive
363,5,Good read. Could definitely be a life changing book. Grateful to know hoe powerful our subconscious mind is working. Amazing.,positive
364,5,"Wonderful book, worth buying.",positive
365,5,Just what you will ever want to know about life and success is all in here.,positive
366,4,Book that boost your life.,positive
367,5,"Mindful, thoughtful, and mindful writ up. If you genuinely, wholeheartedly adapt the techniques outlined in this book, then definitely it will create wonders and change your life.",positive
368,5,A good book to have in personal library.,positive
369,5,That will change your life always invest in book like this. Amazing book go for it.,positive
370,3,Book is no doubt very good but i got a little damaged book that hurts.,neutral
371,3,Page quality of this book is not good. This is the first time that I am disappoint.,neutral
372,2,This book is not for beginners some of the vocabulary is very hard to understand and i don't like the Book much . I don't recommend this .,negative
373,2,"I liked the idealogy of Joseph Murphy , but it was boring that he wrote the same statement with different examples and in different fields such as money and life.",negative
374,2,"Pages feel like rough paper, hard, after replacement same quality book recieved.",negative
375,2,"It is more like a religious book (with words like prayer, priest, church) than a motivational one.",negative
376,1,It a not a special book. Just with basic know and thoughts about subconscious mind.,negative
377,1,Entire book revolves around two things conscious mind and subconscious mind with different examples.,negative
378,1,Most over imagination and complete materialistic view . So what is necessary of subconscious and do hard get materialistic happiness.,negative
